Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2030,12,4,0.5262432,1.2029157,1.6567824,1.9042443,1.9198137,1.719753,1.4097048,1.3709976,0.7074837,1.036602,1.7681265,1.8733869,1.7939544,1.8682062,1.5596343,1.5144444,0.9146088,0.6569619,0.538713,0.2533314,0.2537115,0.299607,0.3049641,0.3267831
2030,12,5,0.6376482,1.0838814,1.6024302,1.4230461,1.0863027,1.1746119,1.2321267,1.3397832,1.819734,1.4651238,1.2957,1.193262,1.0262931,0.9359637,0.9443511,0.7171626,0.6281352,0.6447756,0.7133406,0.3901653,0.3167115,0.2914443,0.1396794,0
2030,12,6,0,0.1119132,0.186186,0.2383122,0.3816771,0.5212704,0.6475329,1.2036045,1.3417677,0.8481459,0.6569619,0.5802636,0.5738985,0.538713,0.4560738,0.4219467,0.3563007,0.2701587,0.181041,0.1324575,0,0.1255989,0.1192716,0.0751002
2030,12,7,0,0,0,0,0.0822759,0.1094457,0.1149687,0.1830822,0.5033448,0.6949908,0.686931,0.6322008,0.7346661,0.7022379,0.4099515,0.3049641,0.2731302,0.2446101,0.1082046,0.1286838,0,0,0,0
2030,12,8,0.1109892,0.5063373,0.7936089,0.5040336,0.3641232,0.2597364,0.1376781,0.1688064,0.4407963,1.4017122,1.5123822,1.4954436,1.2163389,0.9056523,0.5828235,0.344925,0.3954111,0.4420353,0.4924185,0.2452233,0,0,0,0
2030,12,9,0,0.0775677,0.4140486,0.8737638,0.7858347,0.5010537,2.0678721,2.0400387,1.8280374,1.7159625,1.6042992,0.9676233,0.1177995,0.4360713,0.0861336,0,0.2182152,1.0790388,1.4924448,0.8523396,1.5873165,1.7237367,1.3529817,1.1004966
2030,12,10,0.7676466,0.5153967,0.4064676,0.5620692,1.1296005,1.455573,1.5911217,1.4023527,1.0842279,0.5149284,0.4678674,0.4912908,0.4001445,0.2353386,0.305865,0.1989078,0.0857766,0.1123773,0.1678593,0.1274931,0,0,0,0
2030,12,11,0.1701063,0.6414786,0.8993712,0.6707085,0.5288619,0.3569895,0.2682855,0.2342781,0.2115897,0.2418066,0.6303024,0.6398364,1.2649035,1.0469319,0.7104069,0.4912908,0.1493394,0.0966273,0.1443582,0.1725591,0.6078198,1.683696,2.0373612,2.0653962
2030,12,12,2.0773557,2.0553309,2.0756001,2.0630022,2.0631912,2.0299839,2.0547786,2.0112897,2.0045613,0.9480492,0.6179208,0.369243,0.245469,0.2232258,0.2173353,0.3635961,0.5074923,0.533169,0.4307793,0.2535855,0,0.2104158,0.1981014,0.1451772
2030,12,13,0.1004157,0.073626,0,0.085197,0.205884,0.2881494,0.3910977,0.3737076,0.4526886,0.4700388,0.5769477,0.4003356,0.3910977,0.406854,0.4704735,0.4616199,0.3672942,0.1671747,0.1059282,0.1126104,0,0,0,0
